,sum_sq,df,F,PR(>F)
generador,0.49851765111161844,2.0,33.24288142911547,9.572645637025496e-09
algoritmo_flujo,1.760235241786087,2.0,117.3785748600177,1.3292689379799332e-48
vertices,-1.1622251346882277e-11,3.0,-5.166746153685399e-10,1.0
convlogdensidad,-1.6200069170044592e-11,2.0,-1.08027665091177e-09,1.0
generador:algoritmo_flujo,0.008355109726736594,4.0,0.27857380912573343,0.8919532001479589
algoritmo_flujo:vertices,2.6038422010683755,6.0,57.87773502585059,1.439217372912159e-65
vertices:convlogdensidad,19.356282350709755,6.0,430.247954549727,5.0369787158505585e-210
generador:vertices,48.596207920919284,6.0,1080.1877487637544,0.0
generador:convlogdensidad,0.4714715876434431,4.0,15.719678180180013,4.318718618445998e-10
Residual,13.309147593146342,1775.0,,
